Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation,d,run
86.1,5279180,1,5279180.0,5279180.0,5279180,5279180,0.0,[CUDA memcpy Host-to-Device],84,5
13.8,848974,2,424487.0,424487.0,420096,428878,6209.8,[CUDA memset],84,5
0.1,3416,2,1708.0,1708.0,1628,1788,113.1,[CUDA memcpy Device-to-Host],84,5
86.6,5504012,1,5504012.0,5504012.0,5504012,5504012,0.0,[CUDA memcpy Host-to-Device],84,6
13.4,849835,2,424917.5,424917.5,419594,430241,7528.6,[CUDA memset],84,6
0.1,3315,2,1657.5,1657.5,1530,1785,180.3,[CUDA memcpy Device-to-Host],84,6
86.1,5652894,1,5652894.0,5652894.0,5652894,5652894,0.0,[CUDA memcpy Host-to-Device],84,7
13.8,907934,2,453967.0,453967.0,430285,477649,33491.4,[CUDA memset],84,7
0.1,3422,2,1711.0,1711.0,1631,1791,113.1,[CUDA memcpy Device-to-Host],84,7
87.0,5708217,1,5708217.0,5708217.0,5708217,5708217,0.0,[CUDA memcpy Host-to-Device],84,8
12.9,849313,2,424656.5,424656.5,423739,425574,1297.5,[CUDA memset],84,8
0.1,3445,2,1722.5,1722.5,1642,1803,113.8,[CUDA memcpy Device-to-Host],84,8
86.2,5601652,1,5601652.0,5601652.0,5601652,5601652,0.0,[CUDA memcpy Host-to-Device],84,9
13.8,895999,2,447999.5,447999.5,420267,475732,39219.7,[CUDA memset],84,9
0.1,4281,2,2140.5,2140.5,2045,2236,135.1,[CUDA memcpy Device-to-Host],84,9
81.8,5408959,1,5408959.0,5408959.0,5408959,5408959,0.0,[CUDA memcpy Host-to-Device],84,10
18.2,1202253,2,601126.5,601126.5,440244,762009,227522.2,[CUDA memset],84,10
0.1,3348,2,1674.0,1674.0,1562,1786,158.4,[CUDA memcpy Device-to-Host],84,10
75.6,388613,2,194306.5,194306.5,184477,204136,13901.0,[CUDA memset],55,1
23.8,122156,1,122156.0,122156.0,122156,122156,0.0,[CUDA memcpy Host-to-Device],55,1
0.7,3441,2,1720.5,1720.5,1561,1880,225.6,[CUDA memcpy Device-to-Host],55,1
75.8,389386,2,194693.0,194693.0,184244,205142,14777.1,[CUDA memset],55,1
23.6,121453,1,121453.0,121453.0,121453,121453,0.0,[CUDA memcpy Host-to-Device],55,1
