Distanza,Tempo (s)
70,1.8745592041015624
70,1.877286865234375
70,1.875378173828125
70,1.87526171875
70,1.8727943115234376
70,1.8737479248046875
70,1.869244384765625
70,1.8749609375
70,1.87295654296875
70,1.8744156494140625
70,1.87459423828125
70,1.87180029296875
70,1.871351806640625
70,1.872395263671875
70,1.8720013427734374
70,1.8696240234375
70,1.872754638671875
70,1.8730946044921875
70,1.877572998046875
70,1.865140380859375
75,2.305138671875
75,2.300572265625
75,2.295452392578125
75,2.305794921875
75,2.296453369140625
75,2.303683349609375
75,2.306553955078125
75,2.30095751953125
75,2.30542724609375
75,2.3019501953125
75,2.29851318359375
75,2.2977294921875
75,2.298619873046875
75,2.4963310546875
75,2.379888671875
75,2.294145751953125
75,2.3208544921875
75,2.309037841796875
75,2.319107421875
75,2.317466796875
75,2.29258935546875
75,2.294970947265625
75,2.295572021484375
75,2.29503955078125
75,2.287122314453125
75,2.289292724609375
75,2.290634521484375
75,2.29303759765625
75,2.300950439453125
75,2.30694091796875
80,2.78409423828125
80,2.78536865234375
80,2.776166259765625
80,2.769335205078125
80,2.779726806640625
80,2.7843173828125
80,2.76235498046875
80,2.777720947265625
80,2.775875
80,2.7858486328125
80,2.788444580078125
80,2.781649658203125
80,2.75664892578125
80,2.785875
80,2.78429248046875
80,2.784244140625
80,2.787596435546875
80,2.79005419921875
80,2.793540283203125
80,2.7662421875
80,2.782693603515625
80,2.784133544921875
80,2.79030712890625
80,2.7849013671875
80,2.77669775390625
80,2.772931884765625
80,2.785237060546875
80,2.7662470703125
80,2.790229248046875
80,2.79242333984375
84,3.202994140625
84,3.224180908203125
84,3.198244140625
84,3.221272216796875
84,3.225035400390625
84,3.206274169921875
84,3.22500341796875
84,3.199320068359375
84,3.219575927734375
84,3.226406982421875
84,3.221888916015625
84,3.224909423828125
84,3.225937255859375
84,3.221497802734375
84,3.203243896484375
84,3.229396728515625
84,3.216659912109375
84,3.228458251953125
84,3.194985107421875
84,3.231999267578125
84,3.22378369140625
84,3.2190703125
84,3.232279052734375
84,3.21234130859375
84,3.2351279296875
84,3.211097412109375
84,3.208950439453125
84,3.225868896484375
84,3.22656640625
84,3.2209755859375
